id,year,month,day,tmin,tmax,mean_cloud,wind,prcp,wet_day
309,6485,5,27,0.495389,3.52168,0.979671,0.0802721,9.27894,1
309,6485,5,28,2.64287,8.57927,0.939313,0.547838,0.0245292,1
309,6485,5,29,0.693421,11.1398,0.752742,0,0,0
309,6485,5,30,0.633608,8.85148,0.902814,0,0.0247059,1
309,6485,5,31,4.2803,5.48921,0.964171,0.421249,18.204,1
309,6485,6,1,3.24407,16.3686,0.934783,0.667891,0,0
309,6485,6,2,1.65854,11.2917,0.396163,0.883461,0,0
309,6485,6,3,2.12243,10.9168,0.920373,1.17112,1.995,1
309,6485,6,4,2.30803,11.1803,0.801141,0.787007,0,0
309,6485,6,5,2.84945,12.5993,0.510741,0,0,0
309,6485,6,6,3.22644,7.13958,0.463495,0.854997,0,0
309,6485,6,7,5.10903,15.2793,0.811627,0,0.0526462,1
309,6485,6,8,3.79827,8.25571,0.707838,1.41468,0.627102,1
309,6485,6,9,4.62037,7.61515,0.884457,1.43166,0.045092,1
309,6485,6,10,3.94005,11.3795,0.726502,1.8168,0,0
309,6485,6,11,6.05936,13.3624,0.810037,1.33289,5.77175,1
309,6485,6,12,5.26575,8.61309,0.962714,2.06835,0.210615,1
309,6485,6,13,4.35171,15.5719,0.868404,1.98733,1.86963,1
309,6485,6,14,4.95967,13.1746,0.602987,1.835,0.209946,1
309,6485,6,15,4.04272,4.45587,1,1.32584,0,0
309,6485,6,16,4.52365,16.9736,0.658608,2.24823,2.08148,1
309,6485,6,17,5.48822,10.8964,0.708534,0.96383,0.293309,1
309,6485,6,18,5.12619,18.7067,0.858103,1.54295,2.73006,1
309,6485,6,19,3.89819,11.8502,0.814364,1.85927,0.63493,1
309,6485,6,20,6.27197,12.4421,0.866943,1.98988,0.521268,1
309,6485,6,21,5.67555,10.525,0.831449,2.4202,0.614505,1
309,6485,6,22,4.52121,9.81937,0.546465,1.84796,0,0
309,6485,6,23,5.25407,13.1102,0.892085,0.915752,0,0
309,6485,6,24,6.64096,15.813,0.384776,2.63703,0,0
309,6485,6,25,3.2981,15.5857,0.272332,3.49807,0,0
